ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
4510,Calves stretch (male),Stretching,Calves,Body weight,Male,,,,,mobility
4511,Bridge Pose Setu Bandhasana (male),Stretching,Stretching,Body weight,,,,static,Full body / dynamic mobility,mobility
4512,Adductor Stretch (male),Stretching,Hips,Body weight,Male,,,,,mobility
4516,Band Warm-up Shoulder Stretch,Stretching,Chest,Band,Male,"Deltoid Anterior, Deltoid Lateral, Deltoid Posterior , Infraspinatus, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Minor , Trapezius Middle Fibers",,,,mobility
4539,Diamond Press,Strength,Back,Body weight,Male,,,,,strength
4541,Kettlebell One Arm Thruster,Strength,Weightlifting,Kettlebell,Male,,,,,strength
4542,Kettlebell Clean and Jerk,Strength,"Hips, Shoulders, Thighs",Kettlebell,Male,,,,,strength
4547,Good Morning Squat,Strength,Hips,Body weight,Male,Hamstrings,"Adductor Magnus, Gluteus Maximus",,,strength
4548,Burpee Squat,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4549,Twisting Knee Thrust,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4550,Side To Side Step with Raise Hands,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4551,Overhead Jack To Jumping Jack,Aerobic,Plyometrics,Body weight,Male,,,,,cardio
4552,Diagonal Lunge,Strength,Plyometrics,Body weight,Male,,,,,strength
4553,Thoracic Bridge,Stretching,Stretching,Body weight,,,,static,Full body / dynamic mobility,mobility
4555,Dynamic 90 90 Hip Twist,Stretching,Stretching,Body weight,,,,dynamic,Lower body,mobility
4557,Couch Stretch,Stretching,"Thighs, Waist",Body weight,Male,,,,,mobility
4560,Body Extension,Stretching,"Hips, Thighs, Waist",Body weight,Male,,,,,mobility
4563,Dumbbell Squat Hold Calf Raise,Strength,Calves,Dumbbell,Male,,,,,strength
4564,Riding Outdoor Bicycle (female),Aerobic,Plyometrics,Body weight,Male,,,,,cardio
4565,Dumbbell Step-up with Knee Raise,Strength,Hips,Dumbbell,Male,,,,,strength
4566,Cable Neutral Grip Kickback,Strength,Upper Arms,Cable,Male,Triceps Brachii,,,,strength
4567,Cable Bent Over Single Arm Neutral Grip Kickback with Rope Attachment,Strength,Upper Arms,Cable,Male,,,,,strength
4568,Resistance Band Pull Apart,Strength,Shoulders,Resistance Band,Male,,,,,strength
4569,Resistance Band One Arm Bent Over Row,Strength,Back,Resistance Band,Male,,,,,strength
4571,Resistance Band Push-Up,Strength,Chest,Resistance Band,Male,,,,,strength
4573,Band Half Kneeling Chop,Strength,Waist,Band,Male,,,,,strength
4578,Cable Bent Over Neutral Grip Kickback with Rope Attachment,Strength,Upper Arms,Cable,Male,,,,,strength
4579,Bodyweight Step-up on Stepbox,Strength,Thighs,Body weight,Male,,,,,strength
